e_all	E_all	time(sec)
25.965249	27.237503	1.000000	8.960000
24.609921	25.774835	1.000000	12.240000
19.337564	20.489437	1.000000	8.350000
16.781625	17.904893	1.000000	11.678000
13.018379	14.127498	1.000000	8.257000
0.679389	0.774944	0.122098	3.582000
0.674833	0.770836	0.119661	3.670000
0.670115	0.766464	0.117162	3.655000
0.666094	0.762637	0.115053	3.725000
0.663911	0.760721	0.113916	3.699000
0.661875	0.758937	0.112861	3.649000
0.659893	0.757218	0.111838	3.591000
0.658007	0.755580	0.110869	3.657000
0.656174	0.754007	0.109932	3.674000
0.654443	0.752518	0.109049	3.668000
0.652447	0.750731	0.108037	3.696000
0.650650	0.749174	0.107130	3.719000
0.648892	0.747660	0.106246	3.682000
0.647186	0.746188	0.105391	3.849000
0.645513	0.744753	0.104557	3.727000
0.643893	0.743363	0.103753	3.726000
0.642310	0.742013	0.102970	3.666000
0.640797	0.740723	0.102224	3.562000
0.679611	0.775221	0.122217	3.561000
0.675240	0.771255	0.119878	3.679000
0.668340	0.764634	0.116229	3.764000
0.665831	0.762411	0.114916	3.720000
0.663710	0.760553	0.113812	3.692000
0.661699	0.758793	0.112770	3.750000
0.659746	0.757103	0.111762	3.772000
0.657888	0.755492	0.110808	3.745000
0.656092	0.753956	0.109889	3.784000
0.654098	0.752164	0.108874	3.834000
0.652258	0.750570	0.107942	3.832000
0.650471	0.749023	0.107040	3.799000
